Fecha y Hora,PM2.5_14D6 (μg/m³),Temperatura (°C),Humedad (%),Lat,Long
2026-01-01 00:00:00,53.57,33.44,84.6,3.4372,-76.5225
2026-01-01 01:00:00,10.36,20.82,53.46,3.4372,-76.5225
2026-01-01 02:00:00,61.17,27.68,52.32,3.4372,-76.5225
2026-01-01 03:00:00,14.33,29.71,76.98,3.4372,-76.5225
2026-01-01 04:00:00,75.7,26.51,64.63,3.4372,-76.5225
2026-01-01 05:00:00,11.03,18.68,60.92,3.4372,-76.5225
2026-01-01 06:00:00,29.17,22.26,40.48,3.4372,-76.5225
2026-01-01 07:00:00,77.14,32.21,69.51,3.4372,-76.5225
2026-01-01 08:00:00,76.31,34.99,75.34,3.4372,-76.5225
2026-01-01 09:00:00,25.21,18.68,80.38,3.4372,-76.5225
2026-01-01 10:00:00,40.29,29.08,89.96,3.4372,-76.5225
2026-01-01 11:00:00,18.61,27.95,73.09,3.4372,-76.5225
2026-01-01 12:00:00,41.88,19.55,55.88,3.4372,-76.5225
2026-01-01 13:00:00,30.0,29.39,86.46,3.4372,-76.5225
2026-01-01 14:00:00,29.74,29.79,52.29,3.4372,-76.5225
2026-01-01 15:00:00,75.89,31.83,68.01,3.4372,-76.5225
2026-01-01 16:00:00,39.11,23.35,54.4,3.4372,-76.5225
2026-01-01 17:00:00,77.76,24.87,65.88,3.4372,-76.5225
2026-01-01 18:00:00,79.11,29.18,67.56,3.4372,-76.5225
2026-01-01 19:00:00,35.99,21.19,56.71,3.4372,-76.5225
2026-01-01 20:00:00,61.73,28.63,80.6,3.4372,-76.5225
2026-01-01 21:00:00,20.27,27.34,90.66,3.4372,-76.5225
2026-01-01 22:00:00,37.86,29.87,42.29,3.4372,-76.5225
2026-01-01 23:00:00,77.99,28.35,49.36,3.4372,-76.5225
2026-01-02 00:00:00,16.88,27.36,68.14,3.4372,-76.5225
2026-01-02 01:00:00,11.99,34.87,89.78,3.4372,-76.5225
2026-01-02 02:00:00,39.61,20.0,84.93,3.4372,-76.5225
2026-01-02 03:00:00,42.38,30.18,65.53,3.4372,-76.5225
2026-01-02 04:00:00,25.51,32.19,93.81,3.4372,-76.5225
2026-01-02 05:00:00,23.28,27.37,58.02,3.4372,-76.5225
2026-01-02 06:00:00,74.14,26.64,87.76,3.4372,-76.5225
2026-01-02 07:00:00,69.8,22.7,82.4,3.4372,-76.5225
2026-01-02 08:00:00,36.12,33.88,65.46,3.4372,-76.5225
2026-01-02 09:00:00,66.54,22.81,52.91,3.4372,-76.5225
2026-01-02 10:00:00,49.02,34.98,64.38,3.4372,-76.5225
2026-01-02 11:00:00,16.14,27.16,55.71,3.4372,-76.5225
2026-01-02 12:00:00,46.39,27.24,62.32,3.4372,-76.5225
2026-01-02 13:00:00,29.13,21.21,76.85,3.4372,-76.5225
2026-01-02 14:00:00,47.88,21.97,81.53,3.4372,-76.5225
2026-01-02 15:00:00,8.27,30.66,77.31,3.4372,-76.5225
2026-01-02 16:00:00,65.86,24.56,74.82,3.4372,-76.5225
2026-01-02 17:00:00,66.56,34.67,64.72,3.4372,-76.5225
2026-01-02 18:00:00,7.78,26.54,70.41,3.4372,-76.5225
2026-01-02 19:00:00,70.23,32.86,61.42,3.4372,-76.5225
2026-01-02 20:00:00,44.45,25.77,78.35,3.4372,-76.5225
2026-01-02 21:00:00,35.75,29.13,44.26,3.4372,-76.5225
2026-01-02 22:00:00,40.21,34.48,55.31,3.4372,-76.5225
2026-01-02 23:00:00,56.95,29.05,86.11,3.4372,-76.5225
2026-01-03 00:00:00,68.93,32.61,57.8,3.4372,-76.5225
2026-01-03 01:00:00,28.75,30.22,80.56,3.4372,-76.5225
2026-01-03 02:00:00,70.43,18.61,39.11,3.4372,-76.5225
2026-01-03 03:00:00,52.34,33.66,94.85,3.4372,-76.5225
2026-01-03 04:00:00,61.01,25.38,40.91,3.4372,-76.5225
2026-01-03 05:00:00,52.53,32.83,61.62,3.4372,-76.5225
